lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
aware,aware,,adj.,알고 있는 / 인식하는,She was aware of the danger.,그녀는 위험을 알고 있었어요.,normal,,,FALSE
administration,administration,,n.,행정 / 관리,She works in school administration.,그녀는 학교 행정 일을 해요.,normal,,,FALSE
complex,complex,,adj.,복잡한,The math problem was very complex.,그 수학 문제는 매우 복잡했어요.,normal,,,FALSE
directly,directly,,adv.,직접 / 바로,She went directly to the market.,그녀는 바로 시장으로 갔어요.,normal,,,FALSE
extra,extra,,adv.|n.,추가로 / 여분의 것,She paid a little extra for the bag.,그녀는 가방에 조금 더 돈을 냈어요.,normal,,,FALSE
sample,sample,,n.,견본 / 샘플,She got a free sample at the store.,그녀는 가게에서 무료 샘플을 받았어요.,normal,,,FALSE
deliver,deliver,,v.,배달하다 / 전달하다,He delivered the package to our home.,그는 우리 집에 택배를 배달했어요.,normal,,,FALSE
connection,connection,,n.,연결 / 관계,There is a strong connection between them.,그들 사이에는 강한 연결이 있어요.,normal,,,FALSE
primary,primary,,adj.,주요한 / 첫 번째의,Her primary goal is to be healthy.,그녀의 주요 목표는 건강해지는 거예요.,normal,,,FALSE
highly,highly,,adv.,매우 / 높이,She is highly respected by everyone.,그녀는 모든 사람에게 매우 존경받아요.,normal,,,FALSE
absolutely,absolutely,,adv.,완전히 / 절대적으로,I absolutely love this food.,저는 이 음식이 완전히 좋아요.,normal,,,FALSE
flow,flow,,n.|v.,흐르다 / 흐름,The river flows slowly today.,강이 오늘 천천히 흘러요.,normal,,,FALSE
responsible,responsible,,adj.,책임이 있는,She is responsible for the children.,그녀는 아이들을 책임지고 있어요.,normal,,,FALSE
collection,collection,,n.,수집 / 모음,She has a big collection of cups.,그녀는 컵을 많이 모아 두었어요.,normal,,,FALSE
hang,hang,,v.,걸다 / 매달다,She hung her coat on the door.,그녀는 문에 코트를 걸었어요.,normal,,,FALSE
relative,relative,,adj.|n.,친척 / 상대적인,She visited a relative in Seoul.,그녀는 서울에 있는 친척을 방문했어요.,polysemy_split,(친척),,FALSE
relative,relative,,adj.|n.,상대적인,Everything is relative to your situation.,모든 것은 상황에 따라 상대적이에요.,polysemy_split,(상대적인),relative,FALSE
tour,tour,,v.,여행하다 / 둘러보다,We toured the old village last week.,우리는 지난주에 오래된 마을을 둘러봤어요.,normal,,,FALSE
alternative,alternative,,adj.,대안적인 / 다른,She chose an alternative way home.,그녀는 집에 가는 다른 길을 골랐어요.,normal,,,FALSE
software,software,,n.,소프트웨어 / 프로그램,He installed new software on the computer.,그는 컴퓨터에 새 프로그램을 설치했어요.,normal,,,FALSE
attitude,attitude,,n.,태도 / 마음가짐,She has a positive attitude every day.,그녀는 매일 긍정적인 태도를 가져요.,normal,,,FALSE
cheap,cheap,,adv.,싸게,She bought the dress very cheap.,그녀는 드레스를 매우 싸게 샀어요.,normal,,,FALSE
double,double,,adv.,두 배로,The price has doubled this year.,올해 가격이 두 배가 되었어요.,normal,,,FALSE
truth,truth,,n.,진실 / 사실,She always tells the truth.,그녀는 항상 진실을 말해요.,normal,,,FALSE
examine,examine,,v.,살펴보다 / 검사하다,The doctor examined her carefully.,의사가 그녀를 꼼꼼히 검사했어요.,normal,,,FALSE
lay,lay,,v.,놓다 / 눕히다,She laid the baby on the bed.,그녀는 아기를 침대에 눕혔어요.,normal,,,FALSE
politics,politics,,n.,정치,He is not interested in politics.,그는 정치에 관심이 없어요.,normal,,,FALSE
slightly,slightly,,adv.,약간 / 조금,The soup is slightly too salty.,수프가 약간 너무 짜요.,normal,,,FALSE
intend,intend,,v.,~할 작정이다 / 의도하다,I intend to visit my friend tomorrow.,나는 내일 친구를 방문할 작정이에요.,normal,,,FALSE
slow,slow,,v.,느리게 하다 / 속도를 줄이다,She slowed down near the school.,그녀는 학교 근처에서 속도를 줄였어요.,normal,,,FALSE
apart,apart,,adv.,떨어져 / 따로,The two houses are far apart.,두 집은 서로 멀리 떨어져 있어요.,normal,,,FALSE
suit,suit,,v.,어울리다 / 맞다,That color suits you very well.,그 색이 당신에게 매우 잘 어울려요.,normal,,,FALSE
federal,federal,,adj.,연방의,It is a federal law in the country.,그것은 그 나라의 연방 법이에요.,normal,,,FALSE
percentage,percentage,,n.,비율 / 퍼센트,A large percentage of women walk daily.,많은 비율의 여성들이 매일 걸어요.,normal,,,FALSE
decade,decade,,n.,10년,She lived in Japan for a decade.,그녀는 10년 동안 일본에서 살았어요.,normal,,,FALSE
warn,warn,,v.,경고하다,She warned him about the icy road.,그녀는 그에게 빙판길에 대해 경고했어요.,normal,,,FALSE
consumer,consumer,,n.,소비자,The consumer bought a new phone.,소비자가 새 휴대폰을 샀어요.,normal,,,FALSE
favor,favor,favour,n.,호의 / 부탁,"Can you do me a favor, please?",저에게 부탁 하나 들어줄 수 있어요?,normal,,,FALSE
spot,spot,,n.,장소 / 자리,We found a nice spot for lunch.,우리는 점심 먹기 좋은 장소를 찾았어요.,normal,,,FALSE
eventually,eventually,,adv.,결국 / 마침내,She eventually found her lost key.,그녀는 결국 잃어버린 열쇠를 찾았어요.,normal,,,FALSE
importance,importance,,n.,중요성,She knows the importance of sleep.,그녀는 잠의 중요성을 알아요.,normal,,,FALSE
cool,cool,,v.,식히다 / 차갑게 하다,She cooled the soup before eating.,그녀는 먹기 전에 수프를 식혔어요.,normal,,,FALSE
wave,wave,,v.,손을 흔들다 / 흔들다,She waved goodbye to her friend.,그녀는 친구에게 손을 흔들며 작별 인사를 했어요.,normal,,,FALSE
surface,surface,,n.,표면 / 겉면,The surface of the table is clean.,탁자의 표면이 깨끗해요.,normal,,,FALSE
edge,edge,,n.,끝 / 가장자리,She sat at the edge of the bed.,그녀는 침대 끝에 앉았어요.,normal,,,FALSE
global,global,,adj.,전 세계적인,Global weather is changing every year.,전 세계 날씨가 매년 변하고 있어요.,normal,,,FALSE
contrast,contrast,,n.|v.,대조 / 대비하다,She contrasted the two dresses carefully.,그녀는 두 드레스를 꼼꼼히 비교했어요.,normal,,,FALSE
roll,roll,,n.|v.,굴리다 / 구르다,The ball rolled down the hill.,공이 언덕 아래로 굴러갔어요.,normal,,,FALSE
reality,reality,,n.,현실,She faced the reality of her life.,그녀는 자신의 삶의 현실을 받아들였어요.,normal,,,FALSE
shift,shift,,n.,변화 / 교대 근무,She works the night shift at the hospital.,그녀는 병원에서 밤 교대 근무를 해요.,normal,,,FALSE
net,net,,n.,그물 / 네트,He caught a fish with a net.,그는 그물로 물고기를 잡았어요.,normal,,,FALSE
category,category,,n.,범주 / 종류,This book is in the cooking category.,이 책은 요리 종류에 속해요.,normal,,,FALSE
spread,spread,,v.,펴다 / 퍼지다,She spread butter on the bread.,그녀는 빵에 버터를 발랐어요.,normal,,,FALSE
nuclear,nuclear,,adj.,핵의 / 원자력의,The country uses nuclear energy.,그 나라는 원자력 에너지를 사용해요.,normal,,,FALSE
confirm,confirm,,v.,확인하다 / 확정하다,She confirmed the meeting time.,그녀는 회의 시간을 확인했습니다.,normal,,,FALSE
transport,transport,,v.,운반하다 / 수송하다,They transport food to the market.,그들은 시장으로 음식을 운반합니다.,normal,,,FALSE
neither,neither,,adv.,(둘 다) ~도 아니다,Neither she nor he came home.,그녀도 그도 집에 오지 않았습니다.,function_word,,,FALSE
survive,survive,,v.,살아남다 / 견뎌내다,The dog survived the cold winter.,그 개는 추운 겨울을 살아남았습니다.,normal,,,FALSE
technique,technique,technic,n.,기술 / 방법,She learned a new cooking technique.,그녀는 새로운 요리 기술을 배웠습니다.,normal,,,FALSE
improvement,improvement,,n.,향상 / 개선,I see a big improvement in her work.,나는 그녀의 실력이 많이 향상된 것을 봅니다.,normal,,,FALSE
consequence,consequence,,n.,결과 / 영향,He felt the consequence of his choice.,그는 자신의 선택의 결과를 느꼈습니다.,normal,,,FALSE
reaction,reaction,,n.,반응,Her reaction to the gift was happy.,선물에 대한 그녀의 반응은 기뻤습니다.,normal,,,FALSE
combine,combine,,v.,결합하다 / 합치다,She combined milk and flour together.,그녀는 우유와 밀가루를 함께 합쳤습니다.,normal,,,FALSE
waste,waste,,adj.|n.|v.,낭비하다,Don't waste food at dinner.,저녁 식사에서 음식을 낭비하지 마세요.,polysemy_split,(낭비하다),,FALSE
waste,waste,,adj.|n.|v.,낭비 / 쓰레기,There is a lot of food waste here.,여기에는 음식 쓰레기가 많습니다.,polysemy_split,(낭비/쓰레기),waste,FALSE
marriage,marriage,,n.,결혼 / 혼인,Their marriage was a happy one.,그들의 결혼은 행복했습니다.,normal,,,FALSE
repeat,repeat,,n.,반복,Please do not repeat that mistake.,그 실수를 반복하지 마세요.,normal,,,FALSE
equal,equal,,adj.|v.,같은 / 동등하다,We all have equal rights here.,우리는 모두 여기서 동등한 권리를 가집니다.,normal,,,FALSE
plus,plus,,prep.,더하기 / ~에 더하여,Two plus three is five.,2 더하기 3은 5입니다.,function_word,,,FALSE
commercial,commercial,,adj.|n.,상업적인,She watched a funny commercial on TV.,그녀는 TV에서 재미있는 광고를 봤습니다.,polysemy_split,(광고),,FALSE
commercial,commercial,,adj.|n.,상업적인,This area is a commercial district.,이 지역은 상업 지구입니다.,polysemy_split,(상업적인),commercial,FALSE
duty,duty,,n.,의무 / 임무,It is my duty to help my family.,가족을 돕는 것은 나의 의무입니다.,normal,,,FALSE
strength,strength,,n.,힘 / 강점,She has great strength in her arms.,그녀의 팔에는 큰 힘이 있습니다.,normal,,,FALSE
cultural,cultural,,adj.,문화적인,We went to a cultural event downtown.,우리는 시내에서 문화 행사에 갔습니다.,normal,,,FALSE
payment,payment,,n.,지불 / 납부,She made the payment by card.,그녀는 카드로 지불했습니다.,normal,,,FALSE
appreciate,appreciate,,v.,감사하다 / 고마워하다,I really appreciate your help today.,오늘 도움에 정말 감사합니다.,normal,,,FALSE
chapter,chapter,,n.,(책의) 장,She read the first chapter of the book.,그녀는 책의 첫 번째 장을 읽었습니다.,normal,,,FALSE
union,union,,n.,연합 / 노동조합,The workers joined the union together.,노동자들은 함께 노동조합에 가입했습니다.,normal,,,FALSE
trend,trend,,n.,유행 / 추세,This style is the latest trend now.,이 스타일이 요즘 최신 유행입니다.,normal,,,FALSE
pleasure,pleasure,,n.,기쁨 / 즐거움,It is a pleasure to meet you.,만나서 반갑습니다.,normal,,,FALSE
gather,gather,,v.,모이다 / 모으다,The family gathered around the table.,가족이 식탁 주위에 모였습니다.,normal,,,FALSE
essential,essential,,adj.,필수적인 / 꼭 필요한,Water is essential for our body.,물은 우리 몸에 꼭 필요합니다.,normal,,,FALSE
promote,promote,,v.,홍보하다 / 승진시키다,She was promoted to manager last week.,그녀는 지난주에 매니저로 승진했습니다.,normal,,,FALSE
currently,currently,,adv.,현재 / 지금,She is currently living with her family.,그녀는 현재 가족과 함께 살고 있습니다.,normal,,,FALSE
path,path,,n.,길 / 오솔길,We walked along the path in the park.,우리는 공원의 오솔길을 따라 걸었습니다.,normal,,,FALSE
attract,attract,,v.,끌어당기다 / 매료시키다,The flowers attracted many bees.,꽃들이 많은 벌을 끌어당겼습니다.,normal,,,FALSE
powerful,powerful,,adj.,강력한 / 힘센,The wind was very powerful today.,오늘 바람이 매우 강력했습니다.,normal,,,FALSE
safety,safety,,n.,안전,The safety of children is most important.,아이들의 안전이 가장 중요합니다.,normal,,,FALSE
divide,divide,,v.,나누다 / 분리하다,She divided the cake into four pieces.,그녀는 케이크를 네 조각으로 나눴습니다.,normal,,,FALSE
length,length,,n.,길이,The length of the table is one meter.,그 탁자의 길이는 1미터입니다.,normal,,,FALSE
package,package,,n.,소포 / 꾸러미,A package arrived at our door today.,오늘 우리 집 문 앞에 소포가 도착했습니다.,normal,,,FALSE
expand,expand,,v.,확장하다 / 넓히다,They plan to expand the small store.,그들은 작은 가게를 확장할 계획입니다.,normal,,,FALSE
commit,commit,,v.,저지르다 / 헌신하다,He committed himself to helping others.,그는 다른 사람을 돕는 데 헌신했습니다.,normal,,,FALSE
obvious,obvious,,adj.,명백한 / 분명한,It was obvious that she was tired.,그녀가 피곤하다는 것은 분명했습니다.,normal,,,FALSE
weapon,weapon,,n.,무기,The police found a weapon in the bag.,경찰은 가방 안에서 무기를 발견했습니다.,normal,,,FALSE
host,host,,n.,주인 / 진행자,The host welcomed all the guests warmly.,주인은 모든 손님을 따뜻하게 환영했습니다.,normal,,,FALSE
district,district,,n.,지역 / 구역,She lives in a quiet school district.,그녀는 조용한 학교 구역에 살고 있습니다.,normal,,,FALSE
tire,tire,,n.,타이어,The car has a flat tire today.,오늘 차의 타이어가 펑크 났습니다.,normal,,,FALSE
spring,spring,,v.,뛰어오르다 / 튀어나오다,The cat sprang up onto the chair.,고양이가 의자 위로 뛰어올랐습니다.,normal,,,FALSE
spirit,spirit,,n.,정신 / 영혼,She has a very kind spirit.,그녀는 매우 친절한 정신을 가지고 있습니다.,normal,,,FALSE
battle,battle,,n.,전투 / 싸움,It was a long and hard battle.,그것은 길고 힘든 싸움이었습니다.,normal,,,FALSE
hardly,hardly,,adv.,거의 ~않다,She could hardly hear the music.,그녀는 음악이 거의 들리지 않았습니다.,normal,,,FALSE
award,award,,v.,수여하다 / 상을 주다,The teacher awarded her a gold star.,선생님은 그녀에게 금별을 수여했습니다.,normal,,,FALSE
coach,coach,,v.,지도하다 / 코치하다,He coaches the children every Saturday.,그는 매주 토요일 아이들을 지도합니다.,normal,,,FALSE
experiment,experiment,,v.,실험하다 / 시도해 보다,She experimented with new recipes at home.,그녀는 집에서 새로운 요리법을 시도해 봤습니다.,normal,,,FALSE
possibly,possibly,,adv.,아마도 / 혹시,She will possibly come home late today.,그녀는 오늘 아마도 늦게 집에 올 것입니다.,normal,,,FALSE
conclude,conclude,,v.,결론 내리다 / 끝내다,He concluded that the food was good.,그는 음식이 맛있다고 결론 내렸습니다.,normal,,,FALSE
religious,religious,,adj.,종교적인,She goes to a religious service each week.,그녀는 매주 종교 예배에 갑니다.,normal,,,FALSE
convince,convince,,v.,설득하다 / 납득시키다,She convinced her son to eat vegetables.,그녀는 아들이 채소를 먹도록 설득했습니다.,normal,,,FALSE
environmental,environmental,,adj.,환경의 / 환경적인,We need to solve environmental problems now.,우리는 지금 환경 문제를 해결해야 합니다.,normal,,,FALSE
location,location,,n.,위치 / 장소,The café has a great location downtown.,그 카페는 시내에 위치가 좋습니다.,normal,,,FALSE
invest,invest,,v.,투자하다,He invested money in a small business.,그는 작은 사업에 돈을 투자했습니다.,normal,,,FALSE
glad,glad,,adj.,기쁜 / 반가운,I am glad to see you again.,다시 만나서 반갑습니다.,normal,,,FALSE
tape,tape,,n.,테이프,She fixed the box with some tape.,그녀는 테이프로 상자를 고정했습니다.,normal,,,FALSE
murder,murder,,n.|v.,살인,The police investigated the murder case.,경찰은 살인 사건을 조사했습니다.,polysemy_split,(살인/명사),,FALSE
murder,murder,,n.|v.,살인하다,He was arrested for murdering someone.,그는 누군가를 살인한 혐의로 체포되었습니다.,polysemy_split,(살인하다/동사),murder,FALSE
hate,hate,,n.,증오 / 미움,She felt hate toward no one.,그녀는 아무도 미워하지 않았습니다.,normal,,,FALSE
pack,pack,,n.,묶음 / 가방,She put a pack of cards on the table.,그녀는 카드 한 묶음을 탁자 위에 놓았어요.,normal,,,FALSE
swim,swim,,n.,수영,She went for a swim in the lake.,그녀는 호수에 수영하러 갔어요.,normal,,,FALSE
totally,totally,,adv.,완전히 / 전혀,I totally forgot her birthday.,나는 그녀의 생일을 완전히 잊어버렸어요.,normal,,,FALSE
historical,historical,,adj.,역사적인,We visited a historical building in the city.,우리는 도시의 역사적인 건물을 방문했어요.,normal,,,FALSE
branch,branch,,n.,나뭇가지 / 지점,The bird sat on a branch of the tree.,새 한 마리가 나뭇가지 위에 앉았어요.,normal,,,FALSE
bomb,bomb,,n.,폭탄,The soldiers found a bomb near the road.,군인들이 도로 근처에서 폭탄을 발견했어요.,polysemy_split,(폭탄),,FALSE
bomb,bomb,,v.,폭격하다,The city was bombed during the war.,전쟁 중에 그 도시가 폭격을 당했어요.,polysemy_split,(폭격하다),bomb,FALSE
editor,editor,,n.,편집자,The editor read every page of the book.,편집자는 책의 모든 페이지를 읽었어요.,normal,,,FALSE
sight,sight,,n.,시력 / 광경,The sunset was a beautiful sight.,일몰은 아름다운 광경이었어요.,normal,,,FALSE
quote,quote,,n.,인용문,She wrote a famous quote on the board.,그녀는 칠판에 유명한 인용문을 썼어요.,polysemy_split,(인용문),,FALSE
quote,quote,,v.,인용하다,He quoted a line from the poem.,그는 시에서 한 구절을 인용했어요.,polysemy_split,(인용하다),quote,FALSE
climb,climb,,n.,오르기 / 등반,The climb up the hill was hard.,언덕을 오르는 것은 힘들었어요.,normal,,,FALSE
mainly,mainly,,adv.,주로,She mainly eats vegetables and fruit.,그녀는 주로 채소와 과일을 먹어요.,normal,,,FALSE
occasion,occasion,,n.,때 / 특별한 행사,Her birthday is a special occasion.,그녀의 생일은 특별한 행사예요.,normal,,,FALSE
familiar,familiar,,adj.,익숙한 / 잘 아는,This song sounds familiar to me.,이 노래는 나에게 익숙하게 들려요.,normal,,,FALSE
ignore,ignore,,v.,무시하다,She ignored his call all day.,그녀는 하루 종일 그의 전화를 무시했어요.,normal,,,FALSE
locate,locate,,v.,위치를 찾다 / 두다,Can you locate the school on the map?,지도에서 학교 위치를 찾을 수 있나요?,normal,,,FALSE
belief,belief,,n.,믿음 / 신념,She has a strong belief in hard work.,그녀는 열심히 일하는 것에 강한 신념을 갖고 있어요.,normal,,,FALSE
technical,technical,,adj.,기술적인,This book has many technical words.,이 책에는 기술적인 단어가 많아요.,normal,,,FALSE
remind,remind,,v.,상기시키다,Please remind me to call her tonight.,오늘 밤 그녀에게 전화하라고 상기시켜 주세요.,normal,,,FALSE
switch,switch,,v.,바꾸다 / 전환하다,He switched the TV to another channel.,그는 TV를 다른 채널로 바꿨어요.,normal,,,FALSE
fairly,fairly,,adv.,꽤 / 공정하게,The weather is fairly warm today.,오늘 날씨는 꽤 따뜻해요.,normal,,,FALSE
participate,participate,,v.,참여하다,She participated in the school event.,그녀는 학교 행사에 참여했어요.,normal,,,FALSE
border,border,,n.,국경 / 경계,They crossed the border by bus.,그들은 버스를 타고 국경을 넘었어요.,normal,,,FALSE
shake,shake,,n.,흔들기 / 악수,He gave a shake of his head.,그는 고개를 흔들었어요.,normal,,,FALSE
ought,ought,,modal v.,~해야 한다,You ought to eat more vegetables.,당신은 채소를 더 먹어야 해요.,function_word,,,FALSE
ad,ad,,n.,광고,I saw an ad for that shop on TV.,TV에서 그 가게 광고를 봤어요.,normal,,,FALSE
escape,escape,,n.,탈출,The cat made an escape from the room.,고양이가 방에서 탈출했어요.,polysemy_split,(탈출),,FALSE
escape,escape,,v.,탈출하다 / 벗어나다,The dog escaped from the garden.,개가 정원에서 탈출했어요.,polysemy_split,(탈출하다),escape,FALSE
studio,studio,,n.,스튜디오 / 작업실,The singer recorded a song in the studio.,가수가 스튜디오에서 노래를 녹음했어요.,normal,,,FALSE
proper,proper,,adj.,적절한 / 올바른,Wear proper shoes for the walk.,걸을 때는 적절한 신발을 신으세요.,normal,,,FALSE
afford,afford,,v.,여유가 있다 / 살 수 있다,We cannot afford a new car now.,우리는 지금 새 차를 살 여유가 없어요.,normal,,,FALSE
arrest,arrest,,n.,체포,The police made an arrest this morning.,경찰이 오늘 아침에 체포를 했어요.,polysemy_split,(체포),,FALSE
arrest,arrest,,v.,체포하다,The police arrested the man yesterday.,경찰이 어제 그 남자를 체포했어요.,polysemy_split,(체포하다),arrest,FALSE
signal,signal,,n.,신호,The green light is a signal to go.,초록불은 출발 신호예요.,polysemy_split,(신호),,FALSE
signal,signal,,v.,신호를 보내다,She signaled to the waiter for help.,그녀는 웨이터에게 도움을 요청하는 신호를 보냈어요.,polysemy_split,(신호를 보내다),signal,FALSE
explore,explore,,v.,탐험하다 / 살펴보다,The children explored the forest together.,아이들이 함께 숲을 탐험했어요.,normal,,,FALSE
necessarily,necessarily,,adv.,반드시 / 꼭,More food is not necessarily better.,음식이 많다고 반드시 좋은 건 아니에요.,normal,,,FALSE
frame,frame,,n.,액자 / 틀,She put the photo in a wooden frame.,그녀는 사진을 나무 액자에 넣었어요.,polysemy_split,(액자),,FALSE
frame,frame,,v.,액자에 넣다 / 구성하다,He framed the drawing for his mother.,그는 어머니를 위해 그림을 액자에 넣었어요.,polysemy_split,(액자에 넣다),frame,FALSE
hire,hire,,v.,고용하다,The shop hired two new workers.,그 가게는 새 직원 두 명을 고용했어요.,normal,,,FALSE
chain,chain,,n.,사슬 / 체인,The dog is tied with a chain.,개가 사슬로 묶여 있어요.,normal,,,FALSE
literature,literature,,n.,문학,She loves reading Korean literature.,그녀는 한국 문학 읽는 것을 좋아해요.,normal,,,FALSE
victim,victim,,n.,피해자,The victim got help from the police.,피해자는 경찰로부터 도움을 받았어요.,normal,,,FALSE
label,label,,n.,라벨 / 표시,Read the label on the bottle carefully.,병에 붙은 라벨을 잘 읽어 보세요.,polysemy_split,(라벨),,FALSE
label,label,,v.,표시를 붙이다,She labeled all the boxes in the kitchen.,그녀는 부엌의 모든 상자에 표시를 붙였어요.,polysemy_split,(표시를 붙이다),label,FALSE
channel,channel,,n.,채널 / 방송,He watched a cooking show on this channel.,그는 이 채널에서 요리 프로그램을 봤어요.,normal,,,FALSE
investigate,investigate,,v.,조사하다,The police investigated the accident.,경찰이 그 사고를 조사했어요.,normal,,,FALSE
recommendation,recommendation,,n.,추천,Do you have a restaurant recommendation?,추천하는 식당이 있나요?,normal,,,FALSE
concentrate,concentrate,,v.,집중하다,She concentrated on her homework quietly.,그녀는 조용히 숙제에 집중했어요.,normal,,,FALSE
plenty,plenty,,pron.,많음 / 충분함,There is plenty of food on the table.,탁자 위에 음식이 충분히 있어요.,normal,,,FALSE
export,export,,n.,수출품,Rice is an important export of this country.,쌀은 이 나라의 중요한 수출품이에요.,polysemy_split,(수출품),,FALSE
export,export,,v.,수출하다,Korea exports many cars every year.,한국은 매년 많은 자동차를 수출해요.,polysemy_split,(수출하다),export,FALSE
strongly,strongly,,adv.,강하게 / 강력히,She strongly believes in her children.,그녀는 자녀들을 강하게 믿어요.,normal,,,FALSE
consist,consist,,v.,이루어지다 / 구성되다,The meal consists of soup and bread.,그 식사는 수프와 빵으로 이루어져요.,normal,,,FALSE
graduate,graduate,,n.,졸업생,She is a graduate of that university.,그녀는 그 대학교의 졸업생이에요.,polysemy_split,(졸업생),,FALSE
graduate,graduate,,v.,졸업하다,He graduated from high school last year.,그는 작년에 고등학교를 졸업했어요.,polysemy_split,(졸업하다),graduate,FALSE
brand,brand,,n.,브랜드 / 상표,What brand of milk do you usually buy?,어떤 브랜드의 우유를 주로 사세요?,polysemy_split,(브랜드),,FALSE
brand,brand,,v.,낙인찍다,He was branded as a liar by others.,그는 다른 사람들에게 거짓말쟁이로 낙인찍혔어요.,polysemy_split,(낙인찍다),brand,FALSE
principal,principal,,n.,교장 / 학교장,The principal spoke to all the students.,교장 선생님이 모든 학생들에게 말씀하셨어요.,normal,,,FALSE
grade,grade,,n.,학년 / 성적,She got a good grade on her test.,그녀는 시험에서 좋은 성적을 받았어요.,normal,,,FALSE
previously,previously,,adv.,이전에,She had previously lived in Busan.,그녀는 이전에 부산에 살았어요.,normal,,,FALSE
rent,rent,,n.,집세 / 임대료,The rent for this room is very high.,이 방의 집세가 매우 비싸요.,polysemy_split,(집세),,FALSE
rent,rent,,v.,빌리다 / 임대하다,They rented a small house near school.,그들은 학교 근처에 작은 집을 빌렸어요.,polysemy_split,(빌리다),rent,FALSE
till,till,,conj.|prep.,~까지,She waited till he came home.,그녀는 그가 집에 올 때까지 기다렸어요.,function_word,,,FALSE
theme,theme,,n.,주제,The theme of the party is flowers.,파티의 주제는 꽃이에요.,normal,,,FALSE
odd,odd,,adj.,이상한 / 홀수의,She has an odd habit of singing alone.,그녀는 혼자 노래하는 이상한 습관이 있어요.,normal,,,FALSE
definition,definition,,n.,정의 / 뜻,Look up the definition of this word.,이 단어의 뜻을 찾아보세요.,normal,,,FALSE
atmosphere,atmosphere,,n.,분위기 / 대기,The restaurant has a warm atmosphere.,그 식당은 따뜻한 분위기예요.,normal,,,FALSE
comparison,comparison,,n.,비교,"In comparison, this bag is much cheaper.","비교해 보면, 이 가방이 훨씬 저렴해요.",normal,,,FALSE
identity,identity,,n.,신원 / 정체성,She showed her identity card at the door.,그녀는 문에서 신분증을 보여 줬어요.,normal,,,FALSE
seriously,seriously,,adv.,진지하게 / 심각하게,She is seriously ill.,그녀는 심각하게 아프다.,normal,,,FALSE
empty,empty,,v.,비우다,She emptied her bag on the table.,그녀는 가방을 테이블 위에 비웠다.,normal,,,FALSE
practical,practical,,adj.,실용적인 / 현실적인,This bag is very practical.,이 가방은 매우 실용적이다.,normal,,,FALSE
row,row,,n.,줄 / 열,We sat in the front row.,우리는 앞줄에 앉았다.,normal,,,FALSE
youth,youth,,n.,청소년 / 젊음,She works with local youth.,그녀는 지역 청소년들과 함께 일한다.,normal,,,FALSE
fuel,fuel,,n.,연료,The car needs more fuel.,차에 연료가 더 필요하다.,normal,,,FALSE
employment,employment,,n.,취업 / 고용,She found employment at a hospital.,그녀는 병원에서 일자리를 구했다.,normal,,,FALSE
sexual,sexual,,adj.,성적인,Sexual harassment is not allowed.,성희롱은 허용되지 않는다.,normal,,,FALSE
breath,breath,,n.,숨 / 호흡,He took a deep breath.,그는 깊게 숨을 들이쉬었다.,normal,,,FALSE
import,import,,n.|v.,수입품,These fruits are imports from Spain.,이 과일들은 스페인에서 온 수입품이다.,polysemy_split,(수입품),,FALSE
import,import,,n.|v.,수입하다,We import coffee from Brazil.,우리는 브라질에서 커피를 수입한다.,polysemy_split,(수입하다),import,FALSE
journey,journey,,n.,여행 / 여정,The journey took three hours.,여정은 세 시간이 걸렸다.,normal,,,FALSE
musical,musical,,n.,뮤지컬,We saw a musical last night.,우리는 어젯밤에 뮤지컬을 보았다.,normal,,,FALSE
retire,retire,,v.,은퇴하다,He retired at the age of 65.,그는 65세에 은퇴했다.,normal,,,FALSE
tiny,tiny,,adj.,아주 작은,The baby has tiny hands.,아기의 손이 아주 작다.,normal,,,FALSE
suitable,suitable,,adj.,적합한 / 어울리는,This dress is suitable for the party.,이 드레스는 파티에 적합하다.,normal,,,FALSE
native,native,,adj.|n.,출신의 / 원주민,She is a native of Seoul.,그녀는 서울 출신이다.,normal,,,FALSE
mental,mental,,adj.,정신적인,Exercise is good for mental health.,운동은 정신 건강에 좋다.,normal,,,FALSE
specifically,specifically,,adv.,특별히 / 구체적으로,She specifically asked for tea.,그녀는 구체적으로 차를 요청했다.,normal,,,FALSE
entry,entry,,n.,입장 / 입구,Entry to the park is free.,공원 입장은 무료이다.,normal,,,FALSE
chemical,chemical,,adj.|n.,화학적인 / 화학물질,Do not mix these chemicals.,이 화학물질들을 섞지 마세요.,normal,,,FALSE
tip,tip,,v.,기울이다 / 팁을 주다,He tipped the waiter after dinner.,그는 저녁 식사 후 웨이터에게 팁을 주었다.,normal,,,FALSE
discount,discount,,n.,할인,I got a discount at the store.,나는 가게에서 할인을 받았다.,normal,,,FALSE
intelligence,intelligence,,n.,지능 / 정보,The boy shows great intelligence.,그 소년은 뛰어난 지능을 보인다.,normal,,,FALSE
folk,folk,,adj.|n.,민속의 / 사람들,She sings folk songs beautifully.,그녀는 민속 노래를 아름답게 부른다.,normal,,,FALSE
surely,surely,,adv.,분명히 / 틀림없이,Surely she will come today.,그녀는 분명히 오늘 올 것이다.,normal,,,FALSE
guard,guard,,n.|v.,경비원,A guard stood at the door.,경비원이 문 앞에 서 있었다.,polysemy_split,(경비원),,FALSE
guard,guard,,n.|v.,지키다 / 보호하다,He guards the building at night.,그는 밤에 건물을 지킨다.,polysemy_split,(지키다),guard,FALSE
